"Dominant_Topic","Percentage_Contribution","Topic_Keywords","Project_ID","Project_Title","Project_Status","Focus_Area","Sector","Subector","Region"
4,0.9936000109,"0.015*\"nachhaltig\" + 0.010*\"bevölkerung\" + 0.006*\"ressource\" + 0.006*\"natürlich\" + 0.006*\"investition\" + 0.006*\"leisten\" + 0.006*\"finanzierung\" + 0.006*\"schutz\" + 0.006*\"national\" + 0.005*\"lokal\"",28335,"Schutz der Biodiversität in Küstengebieten","aktiv","Umwelt und Klima","410 - Umweltschutz allgemein","41030 - Biodiversität","Afrika Subsahara"
0,0.9947999716,"0.013*\"gesundheit\" + 0.012*\"reproduktiv\" + 0.011*\"bevölkerung\" + 0.010*\"hiv\" + 0.006*\"sexuell\" + 0.006*\"regional\" + 0.005*\"komponente\" + 0.005*\"familienplanung\" + 0.005*\"region\" + 0.004*\"frau\"",28336,"Programm Reproduktive Gesundheit","aktiv","Gesundheit","130 - Bevölkerungspolitik/-programme u. repd. Gesundheit","13020 - Förderung reproduktiver Gesundheit","Afrika Subsahara"
6,0.7990999818,"0.007*\"bevölkerung\" + 0.006*\"verbesserung\" + 0.005*\"distrikt\" + 0.005*\"lokal\" + 0.005*\"nachhaltig\" + 0.005*\"leisten\" + 0.004*\"umsetzung\" + 0.004*\"finanzieren\" + 0.004*\"unterstützen\" + 0.004*\"stärken\"",28345,"Grundbildung III (Korbfinanzierung)","abgeschlossen","Bildung","110 - Bildung","11220 - Grundschulbildung","Afrika Subsahara"
4,0.3925000131,"0.015*\"nachhaltig\" + 0.010*\"bevölkerung\" + 0.006*\"ressource\" + 0.006*\"natürlich\" + 0.006*\"investition\" + 0.006*\"leisten\" + 0.006*\"finanzierung\" + 0.006*\"schutz\" + 0.006*\"national\" + 0.005*\"lokal\"",28352,"Biodiversität und natürliche Ressourcen (Inv)","aktiv","Umwelt und Klima","410 - Umweltschutz allgemein","41030 - Biodiversität","Asien/Ozeanien"
9,0.9948999882,"0.005*\"finanzierung\" + 0.005*\"zugang\" + 0.004*\"privat\" + 0.004*\"entwicklung\" + 0.004*\"unternehmen\" + 0.004*\"ausbildung\" + 0.004*\"investition\" + 0.004*\"mef\" + 0.004*\"leisten\" + 0.004*\"land\"",28359,"SME Receivables Asset Covered Bond - Sekerbank","abgeschlossen","Wirtschaft und Finanzsektor","240 - Finanzwesen","24030 - Finanzintermediäre des formellen Sektors","Europa/Kaukasus"
7,0.9805999994,"0.010*\"kkmu\" + 0.008*\"unterstützen\" + 0.007*\"unternehmen\" + 0.007*\"leisten\" + 0.006*\"nachhaltig\" + 0.005*\"finanzierung\" + 0.005*\"wirtschaftlich\" + 0.005*\"verbessern\" + 0.005*\"finanzieren\" + 0.005*\"bank\"",28360,"KMU Finanzierung mit der Westafrikanischen Entwicklungsbank (BOAD)","aktiv","Wirtschaft und Finanzsektor","240 - Finanzwesen","24030 - Finanzintermediäre des formellen Sektors","Afrika Subsahara"
1,0.9882000089,"0.012*\"stadt\" + 0.010*\"bevölkerung\" + 0.008*\"verbesserung\" + 0.008*\"finanzieren\" + 0.007*\"abwasserentsorgung\" + 0.006*\"krankenhaus\" + 0.006*\"kläranlage\" + 0.006*\"wasser\" + 0.005*\"national\" + 0.005*\"investition\"",28397,"Programm Erneuerbare Energien und Energieeffizienz","abgeschlossen","Energie","""230 - Energieerzeugung, -verteilung und -effizienz""","""23630 - Stromübertragung, -verteilung u. Speicher""","Afrika Subsahara"
6,0.9890000224,"0.007*\"bevölkerung\" + 0.006*\"verbesserung\" + 0.005*\"distrikt\" + 0.005*\"lokal\" + 0.005*\"nachhaltig\" + 0.005*\"leisten\" + 0.004*\"umsetzung\" + 0.004*\"finanzieren\" + 0.004*\"unterstützen\" + 0.004*\"stärken\"",28405,"Kaukasus Energieverbund II (Übertragungsleitung Armenien-Georgien/Umspannstationen)","aktiv","Energie","""230 - Energieerzeugung, -verteilung und -effizienz""","""23630 - Stromübertragung, -verteilung u. Speicher""","Europa/Kaukasus"
9,0.9054999948,"0.005*\"finanzierung\" + 0.005*\"zugang\" + 0.004*\"privat\" + 0.004*\"entwicklung\" + 0.004*\"unternehmen\" + 0.004*\"ausbildung\" + 0.004*\"investition\" + 0.004*\"mef\" + 0.004*\"leisten\" + 0.004*\"land\"",28410,"Programm Mikrofinanzsystementwicklung","aktiv","Wirtschaft und Finanzsektor","240 - Finanzwesen","24030 - Finanzintermediäre des formellen Sektors","Afrika Subsahara"
5,0.883400023,"0.009*\"bevölkerung\" + 0.008*\"verbesserung\" + 0.006*\"leisten\" + 0.006*\"nachhaltig\" + 0.006*\"ländlich\" + 0.005*\"national\" + 0.005*\"energie\" + 0.005*\"unterstützen\" + 0.005*\"land\" + 0.005*\"öffentlich\"",28423,"Geburtsklinik Galle","aktiv","Gesundheit","130 - Bevölkerungspolitik/-programme u. repd. Gesundheit","13020 - Förderung reproduktiver Gesundheit","Asien/Ozeanien"
5,0.8151000142,"0.009*\"bevölkerung\" + 0.008*\"verbesserung\" + 0.006*\"leisten\" + 0.006*\"nachhaltig\" + 0.006*\"ländlich\" + 0.005*\"national\" + 0.005*\"energie\" + 0.005*\"unterstützen\" + 0.005*\"land\" + 0.005*\"öffentlich\"",28481,"Förderkredite an SEDAPAL - Rehabilitierung der Wasser- und Abwassernetze im Norden Limas II","abgeschlossen","Wasser und Abfall","140 - Wasser und Abwasser-/Abfallentsorgung","""14020 - Wasser-, Sanitärver. und Abwassermanagement""","Lateinamerika"
7,0.9810000062,"0.010*\"kkmu\" + 0.008*\"unterstützen\" + 0.007*\"unternehmen\" + 0.007*\"leisten\" + 0.006*\"nachhaltig\" + 0.005*\"finanzierung\" + 0.005*\"wirtschaftlich\" + 0.005*\"verbessern\" + 0.005*\"finanzieren\" + 0.005*\"bank\"",28505,"""Städtische Infrastrukturentwicklung Tamil Nadu, II. Phase""","aktiv","Regionale Konzentration","240 - Finanzwesen","24030 - Finanzintermediäre des formellen Sektors","Asien/Ozeanien"
5,0.6104999781,"0.009*\"bevölkerung\" + 0.008*\"verbesserung\" + 0.006*\"leisten\" + 0.006*\"nachhaltig\" + 0.006*\"ländlich\" + 0.005*\"national\" + 0.005*\"energie\" + 0.005*\"unterstützen\" + 0.005*\"land\" + 0.005*\"öffentlich\"",28516,"berufliche Bildung im Norden Sri Lankas","abgeschlossen","Bildung","110 - Bildung","11330 - Berufliche Bildung","Asien/Ozeanien"
7,0.6414999962,"0.010*\"kkmu\" + 0.008*\"unterstützen\" + 0.007*\"unternehmen\" + 0.007*\"leisten\" + 0.006*\"nachhaltig\" + 0.005*\"finanzierung\" + 0.005*\"wirtschaftlich\" + 0.005*\"verbessern\" + 0.005*\"finanzieren\" + 0.005*\"bank\"",28530,"Gewaltprävention in städtischen Armenvierteln (VPUU) Western Cape","abgeschlossen","Demokratie","150 - Staat und Zivilgesellschaft","""15220 - Zivile Friedensentwicklung, Krisenpräv. u. Kon""","Afrika Subsahara"
5,0.9850999713,"0.009*\"bevölkerung\" + 0.008*\"verbesserung\" + 0.006*\"leisten\" + 0.006*\"nachhaltig\" + 0.006*\"ländlich\" + 0.005*\"national\" + 0.005*\"energie\" + 0.005*\"unterstützen\" + 0.005*\"land\" + 0.005*\"öffentlich\"",28555,"Produktive Nutzung Erneuerbarer Energien","abgeschlossen","Energie","""230 - Energieerzeugung, -verteilung und -effizienz""","""23210 - Energieerzeugung, erneuerbare Quellen""","Asien/Ozeanien"
1,0.9933999777,"0.012*\"stadt\" + 0.010*\"bevölkerung\" + 0.008*\"verbesserung\" + 0.008*\"finanzieren\" + 0.007*\"abwasserentsorgung\" + 0.006*\"krankenhaus\" + 0.006*\"kläranlage\" + 0.006*\"wasser\" + 0.005*\"national\" + 0.005*\"investition\"",28566,"Modernisierung des Ascheentsorgungssystems im Kraftwerk Nikola Tesla","abgeschlossen","Energie","""230 - Energieerzeugung, -verteilung und -effizienz""","""23310 - Erzeugung nicht RE, nicht spez. Maßn.""","Europa/Kaukasus"
7,0.6478999853,"0.010*\"kkmu\" + 0.008*\"unterstützen\" + 0.007*\"unternehmen\" + 0.007*\"leisten\" + 0.006*\"nachhaltig\" + 0.005*\"finanzierung\" + 0.005*\"wirtschaftlich\" + 0.005*\"verbessern\" + 0.005*\"finanzieren\" + 0.005*\"bank\"",28567,"Energieeffizienz in öffentlichen Gebäuden","aktiv","Energie","""230 - Energieerzeugung, -verteilung und -effizienz""","23183 - Energieeffizienz (nachfrageseitig)","Europa/Kaukasus"
7,0.8453000188,"0.010*\"kkmu\" + 0.008*\"unterstützen\" + 0.007*\"unternehmen\" + 0.007*\"leisten\" + 0.006*\"nachhaltig\" + 0.005*\"finanzierung\" + 0.005*\"wirtschaftlich\" + 0.005*\"verbessern\" + 0.005*\"finanzieren\" + 0.005*\"bank\"",28611,"""Klimaprogramm CAF, Phase II""","aktiv","Wirtschaft und Finanzsektor","430 - Andere multisektorale Maßnahmen","43010 - Multisektorale Hilfe","Lateinamerika"
8,0.9886000156,"0.008*\"unterstützen\" + 0.007*\"umsetzung\" + 0.007*\"regierung\" + 0.006*\"national\" + 0.005*\"bevölkerung\" + 0.005*\"verbesserung\" + 0.005*\"kolumbianisch\" + 0.005*\"reform\" + 0.004*\"unterstützung\" + 0.004*\"leisten\"",28622,"Windprogramm Marokko Phase 2","aktiv","Energie","""230 - Energieerzeugung, -verteilung und -effizienz""","23240 - Windenergie (On-/Off-Shore)","Nordafrika/Naher Osten"
7,0.9921000004,"0.010*\"kkmu\" + 0.008*\"unterstützen\" + 0.007*\"unternehmen\" + 0.007*\"leisten\" + 0.006*\"nachhaltig\" + 0.005*\"finanzierung\" + 0.005*\"wirtschaftlich\" + 0.005*\"verbessern\" + 0.005*\"finanzieren\" + 0.005*\"bank\"",28652,"Integriertes Wasserressourcenmanagement Akhouryan Fluss I (Projektphase 2)","aktiv","Ernährung und Landwirtschaft","""310 - Landwirtschaft, Forstwirtschaft und Fischereiwesen""","31140 - Landwirtschaftliche Wasserressourcen","Europa/Kaukasus"
7,0.9810000062,"0.010*\"kkmu\" + 0.008*\"unterstützen\" + 0.007*\"unternehmen\" + 0.007*\"leisten\" + 0.006*\"nachhaltig\" + 0.005*\"finanzierung\" + 0.005*\"wirtschaftlich\" + 0.005*\"verbessern\" + 0.005*\"finanzieren\" + 0.005*\"bank\"",28659,"Programm Agrarfinanzierung (Treuhandbeteiligung) Phase II","abgeschlossen","Wirtschaft und Finanzsektor","240 - Finanzwesen","24030 - Finanzintermediäre des formellen Sektors","Europa/Kaukasus"
5,0.9825000167,"0.009*\"bevölkerung\" + 0.008*\"verbesserung\" + 0.006*\"leisten\" + 0.006*\"nachhaltig\" + 0.006*\"ländlich\" + 0.005*\"national\" + 0.005*\"energie\" + 0.005*\"unterstützen\" + 0.005*\"land\" + 0.005*\"öffentlich\"",28668,"""Schwerpunktprogramm Gesundheit, Komponente Mutter-Kind-Versorgung und Notfallmedizin IV, Investition""","aktiv","Gesundheit","120 - Gesundheitswesen","12230 - Infrastruktur im Bereich Basisgesundheit","Asien/Ozeanien"
7,0.9805999994,"0.010*\"kkmu\" + 0.008*\"unterstützen\" + 0.007*\"unternehmen\" + 0.007*\"leisten\" + 0.006*\"nachhaltig\" + 0.005*\"finanzierung\" + 0.005*\"wirtschaftlich\" + 0.005*\"verbessern\" + 0.005*\"finanzieren\" + 0.005*\"bank\"",28670,"""Finanzsektorprogramm, Investition""","abgeschlossen","Wirtschaft und Finanzsektor","240 - Finanzwesen","24081 - A+F in Bank- und Finanzdiensten","Asien/Ozeanien"
10,0.7506999969,"0.019*\"flüchtling\" + 0.010*\"zugang\" + 0.009*\"gemeinde\" + 0.009*\"sozial\" + 0.008*\"bevölkerung\" + 0.007*\"syrisch\" + 0.007*\"verbesserung\" + 0.007*\"aufnehmend\" + 0.006*\"infrastruktur\" + 0.005*\"libanon\"",28678,"Anpassung an den Klimawandel","aktiv","Ernährung und Landwirtschaft","""310 - Landwirtschaft, Forstwirtschaft und Fischereiwesen""","31140 - Landwirtschaftliche Wasserressourcen","Nordafrika/Naher Osten"
4,0.8072000146,"0.015*\"nachhaltig\" + 0.010*\"bevölkerung\" + 0.006*\"ressource\" + 0.006*\"natürlich\" + 0.006*\"investition\" + 0.006*\"leisten\" + 0.006*\"finanzierung\" + 0.006*\"schutz\" + 0.006*\"national\" + 0.005*\"lokal\"",28679,"Energieeffizienz im Wassersektor II","aktiv","Wasser und Abfall","140 - Wasser und Abwasser-/Abfallentsorgung","14021 - Wasserversorgung - große Systeme","Nordafrika/Naher Osten"
7,0.5435000062,"0.010*\"kkmu\" + 0.008*\"unterstützen\" + 0.007*\"unternehmen\" + 0.007*\"leisten\" + 0.006*\"nachhaltig\" + 0.005*\"finanzierung\" + 0.005*\"wirtschaftlich\" + 0.005*\"verbessern\" + 0.005*\"finanzieren\" + 0.005*\"bank\"",28689,"Social Entrepreneurship Asien","aktiv","Wirtschaft und Finanzsektor","240 - Finanzwesen","24030 - Finanzintermediäre des formellen Sektors","Asien/Ozeanien"
4,0.9674999714,"0.015*\"nachhaltig\" + 0.010*\"bevölkerung\" + 0.006*\"ressource\" + 0.006*\"natürlich\" + 0.006*\"investition\" + 0.006*\"leisten\" + 0.006*\"finanzierung\" + 0.006*\"schutz\" + 0.006*\"national\" + 0.005*\"lokal\"",28702,"Entwicklung des ländlichen Raums mit integriertem Wasserressourcenmanagement (IWRM) - Zinsverbilligung","aktiv","Wasser und Abfall","140 - Wasser und Abwasser-/Abfallentsorgung","14040 - Flußgebietsentwicklung und -regulierung","Nordafrika/Naher Osten"
7,0.6122999787,"0.010*\"kkmu\" + 0.008*\"unterstützen\" + 0.007*\"unternehmen\" + 0.007*\"leisten\" + 0.006*\"nachhaltig\" + 0.005*\"finanzierung\" + 0.005*\"wirtschaftlich\" + 0.005*\"verbessern\" + 0.005*\"finanzieren\" + 0.005*\"bank\"",28728,"Gewaltprävention in städtischen Armenvierteln-Mamelodi East","abgeschlossen","Demokratie","430 - Andere multisektorale Maßnahmen","43030 - Stadtentwicklung und -verwaltung","Afrika Subsahara"
9,0.4891000092,"0.005*\"finanzierung\" + 0.005*\"zugang\" + 0.004*\"privat\" + 0.004*\"entwicklung\" + 0.004*\"unternehmen\" + 0.004*\"ausbildung\" + 0.004*\"investition\" + 0.004*\"mef\" + 0.004*\"leisten\" + 0.004*\"land\"",28745,"Bildungs-Swap ESSP-Fase V","abgeschlossen","Bildung","110 - Bildung","11220 - Grundschulbildung","Afrika Subsahara"
3,0.9853000045,"0.011*\"kind\" + 0.007*\"finanzierung\" + 0.007*\"verbesserung\" + 0.006*\"lokal\" + 0.006*\"zugang\" + 0.005*\"leisten\" + 0.005*\"komponente\" + 0.005*\"bevölkerung\" + 0.004*\"jugendlich\" + 0.004*\"sozial\"",28749,"Förderung Erneuerbare Energien III","aktiv","Energie","""230 - Energieerzeugung, -verteilung und -effizienz""","23240 - Windenergie (On-/Off-Shore)","Europa/Kaukasus"
7,0.9771999717,"0.010*\"kkmu\" + 0.008*\"unterstützen\" + 0.007*\"unternehmen\" + 0.007*\"leisten\" + 0.006*\"nachhaltig\" + 0.005*\"finanzierung\" + 0.005*\"wirtschaftlich\" + 0.005*\"verbessern\" + 0.005*\"finanzieren\" + 0.005*\"bank\"",28756,"Sektorprogramm Mikrofinanz III","abgeschlossen","Wirtschaft und Finanzsektor","240 - Finanzwesen","24030 - Finanzintermediäre des formellen Sektors","Afrika Subsahara"
10,0.8694000244,"0.019*\"flüchtling\" + 0.010*\"zugang\" + 0.009*\"gemeinde\" + 0.009*\"sozial\" + 0.008*\"bevölkerung\" + 0.007*\"syrisch\" + 0.007*\"verbesserung\" + 0.007*\"aufnehmend\" + 0.006*\"infrastruktur\" + 0.005*\"libanon\"",28757,"Gewaltprävention für Jugendliche","aktiv","Friedensentwicklung und Krisenprävention","150 - Staat und Zivilgesellschaft","""15220 - Zivile Friedensentwicklung, Krisenpräv. u. Kon""","Afrika Subsahara"
1,0.6485000253,"0.012*\"stadt\" + 0.010*\"bevölkerung\" + 0.008*\"verbesserung\" + 0.008*\"finanzieren\" + 0.007*\"abwasserentsorgung\" + 0.006*\"krankenhaus\" + 0.006*\"kläranlage\" + 0.006*\"wasser\" + 0.005*\"national\" + 0.005*\"investition\"",28770,"Förderung von Investitionen in Energieeffizienz und erneuerbare Energien über den Bankensektor (Eco-Kredite)","aktiv","Wirtschaft und Finanzsektor","240 - Finanzwesen","24030 - Finanzintermediäre des formellen Sektors","Europa/Kaukasus"
5,0.5335999727,"0.009*\"bevölkerung\" + 0.008*\"verbesserung\" + 0.006*\"leisten\" + 0.006*\"nachhaltig\" + 0.006*\"ländlich\" + 0.005*\"national\" + 0.005*\"energie\" + 0.005*\"unterstützen\" + 0.005*\"land\" + 0.005*\"öffentlich\"",28773,"Sektorprogramm Wasser/ Programm ländliche Wasserversorgung III","aktiv","Wasser und Abfall","140 - Wasser und Abwasser-/Abfallentsorgung","""14030 - Trinkwasser, Sanitär u Abwasser-Grundl Vers""","Europa/Kaukasus"
1,0.532400012,"0.012*\"stadt\" + 0.010*\"bevölkerung\" + 0.008*\"verbesserung\" + 0.008*\"finanzieren\" + 0.007*\"abwasserentsorgung\" + 0.006*\"krankenhaus\" + 0.006*\"kläranlage\" + 0.006*\"wasser\" + 0.005*\"national\" + 0.005*\"investition\"",28779,"HIV/Aids Prävention II","aktiv","Gesundheit","120 - Gesundheitswesen","12264 - COVID-19-Bekämpfung","Afrika Subsahara"
7,0.7548999786,"0.010*\"kkmu\" + 0.008*\"unterstützen\" + 0.007*\"unternehmen\" + 0.007*\"leisten\" + 0.006*\"nachhaltig\" + 0.005*\"finanzierung\" + 0.005*\"wirtschaftlich\" + 0.005*\"verbessern\" + 0.005*\"finanzieren\" + 0.005*\"bank\"",28781,"Intelligente Netze - Übertragungseffizienz","aktiv","Energie","""230 - Energieerzeugung, -verteilung und -effizienz""","""23630 - Stromübertragung, -verteilung u. Speicher""","Asien/Ozeanien"
5,0.6732000113,"0.009*\"bevölkerung\" + 0.008*\"verbesserung\" + 0.006*\"leisten\" + 0.006*\"nachhaltig\" + 0.006*\"ländlich\" + 0.005*\"national\" + 0.005*\"energie\" + 0.005*\"unterstützen\" + 0.005*\"land\" + 0.005*\"öffentlich\"",28789,"""Wasserver- und Abwasserentsorgung serbische Mittelstädten V, ZV""","aktiv","Wasser und Abfall","140 - Wasser und Abwasser-/Abfallentsorgung","""14020 - Wasser-, Sanitärver. und Abwassermanagement""","Europa/Kaukasus"
4,0.5332000256,"0.015*\"nachhaltig\" + 0.010*\"bevölkerung\" + 0.006*\"ressource\" + 0.006*\"natürlich\" + 0.006*\"investition\" + 0.006*\"leisten\" + 0.006*\"finanzierung\" + 0.006*\"schutz\" + 0.006*\"national\" + 0.005*\"lokal\"",28794,"Integrierter Biodiversitätsschutz (Nationalparks und Korridore)","aktiv","Umwelt und Klima","410 - Umweltschutz allgemein","41030 - Biodiversität","Asien/Ozeanien"
5,0.9932000041,"0.009*\"bevölkerung\" + 0.008*\"verbesserung\" + 0.006*\"leisten\" + 0.006*\"nachhaltig\" + 0.006*\"ländlich\" + 0.005*\"national\" + 0.005*\"energie\" + 0.005*\"unterstützen\" + 0.005*\"land\" + 0.005*\"öffentlich\"",28802,"Kommunale Infrastruktur IV Programm (Investitionsm.)","aktiv","Wasser und Abfall","140 - Wasser und Abwasser-/Abfallentsorgung","""14020 - Wasser-, Sanitärver. und Abwassermanagement""","Europa/Kaukasus"
4,0.9916999936,"0.015*\"nachhaltig\" + 0.010*\"bevölkerung\" + 0.006*\"ressource\" + 0.006*\"natürlich\" + 0.006*\"investition\" + 0.006*\"leisten\" + 0.006*\"finanzierung\" + 0.006*\"schutz\" + 0.006*\"national\" + 0.005*\"lokal\"",28806,"Programm Biodiversität und Schutzgebiete - LifeWeb 2","aktiv","Umwelt und Klima","410 - Umweltschutz allgemein","41030 - Biodiversität","Lateinamerika"
1,0.9909999967,"0.012*\"stadt\" + 0.010*\"bevölkerung\" + 0.008*\"verbesserung\" + 0.008*\"finanzieren\" + 0.007*\"abwasserentsorgung\" + 0.006*\"krankenhaus\" + 0.006*\"kläranlage\" + 0.006*\"wasser\" + 0.005*\"national\" + 0.005*\"investition\"",28808,"Abwasserentsorgung in Provinzstädten II","aktiv","Wasser und Abfall","140 - Wasser und Abwasser-/Abfallentsorgung","14032 - Grundlegende Sanitärversorgung und Abwasser","Lateinamerika"
8,0.9902999997,"0.008*\"unterstützen\" + 0.007*\"umsetzung\" + 0.007*\"regierung\" + 0.006*\"national\" + 0.005*\"bevölkerung\" + 0.005*\"verbesserung\" + 0.005*\"kolumbianisch\" + 0.005*\"reform\" + 0.004*\"unterstützung\" + 0.004*\"leisten\"",28809,"Integrierte Verbundfinanzierung \"PBL Reformprogramm des kommunalen Management I und II\"","abgeschlossen","Demokratie","150 - Staat und Zivilgesellschaft","15112 - Dezentral.u.Förd.Subnation.Gebietskörpersch","Lateinamerika"
4,0.9111999869,"0.015*\"nachhaltig\" + 0.010*\"bevölkerung\" + 0.006*\"ressource\" + 0.006*\"natürlich\" + 0.006*\"investition\" + 0.006*\"leisten\" + 0.006*\"finanzierung\" + 0.006*\"schutz\" + 0.006*\"national\" + 0.005*\"lokal\"",28814,"Kläranlage Managua: Biogas und solare Schlammtrocknung","aktiv","Wasser und Abfall","140 - Wasser und Abwasser-/Abfallentsorgung","""14020 - Wasser-, Sanitärver. und Abwassermanagement""","Lateinamerika"
9,0.5913000107,"0.005*\"finanzierung\" + 0.005*\"zugang\" + 0.004*\"privat\" + 0.004*\"entwicklung\" + 0.004*\"unternehmen\" + 0.004*\"ausbildung\" + 0.004*\"investition\" + 0.004*\"mef\" + 0.004*\"leisten\" + 0.004*\"land\"",28816,"""Sektorreformprogramm Siedlungswasserwirtschaft (PGF), Phase VI""","aktiv","Wasser und Abfall","140 - Wasser und Abwasser-/Abfallentsorgung","""14020 - Wasser-, Sanitärver. und Abwassermanagement""","Lateinamerika"
4,0.7329000235,"0.015*\"nachhaltig\" + 0.010*\"bevölkerung\" + 0.006*\"ressource\" + 0.006*\"natürlich\" + 0.006*\"investition\" + 0.006*\"leisten\" + 0.006*\"finanzierung\" + 0.006*\"schutz\" + 0.006*\"national\" + 0.005*\"lokal\"",28820,"Nachhaltige Entwicklung Serengeti-Ökosystem","aktiv","Umwelt und Klima","410 - Umweltschutz allgemein","41030 - Biodiversität","Afrika Subsahara"
1,0.7537999749,"0.012*\"stadt\" + 0.010*\"bevölkerung\" + 0.008*\"verbesserung\" + 0.008*\"finanzieren\" + 0.007*\"abwasserentsorgung\" + 0.006*\"krankenhaus\" + 0.006*\"kläranlage\" + 0.006*\"wasser\" + 0.005*\"national\" + 0.005*\"investition\"",28822,"Wasserressourcen-Management-Programm III","aktiv","Wasser und Abfall","140 - Wasser und Abwasser-/Abfallentsorgung","""14020 - Wasser-, Sanitärver. und Abwassermanagement""","Nordafrika/Naher Osten"
9,0.992299974,"0.005*\"finanzierung\" + 0.005*\"zugang\" + 0.004*\"privat\" + 0.004*\"entwicklung\" + 0.004*\"unternehmen\" + 0.004*\"ausbildung\" + 0.004*\"investition\" + 0.004*\"mef\" + 0.004*\"leisten\" + 0.004*\"land\"",28830,"Förderung beruflicher Bildung II (VPT)","aktiv","Wirtschaft und Finanzsektor","110 - Bildung","11330 - Berufliche Bildung","Afrika Subsahara"
3,0.8167999983,"0.011*\"kind\" + 0.007*\"finanzierung\" + 0.007*\"verbesserung\" + 0.006*\"lokal\" + 0.006*\"zugang\" + 0.005*\"leisten\" + 0.005*\"komponente\" + 0.005*\"bevölkerung\" + 0.004*\"jugendlich\" + 0.004*\"sozial\"",28831,"Sektorprogramm zur Förderung von Energieeffizienz und Erneuerbaren Energien Phase III","abgeschlossen","Energie","""230 - Energieerzeugung, -verteilung und -effizienz""","23220 - Wasserkraftwerke","Europa/Kaukasus"
7,0.9176999927,"0.010*\"kkmu\" + 0.008*\"unterstützen\" + 0.007*\"unternehmen\" + 0.007*\"leisten\" + 0.006*\"nachhaltig\" + 0.005*\"finanzierung\" + 0.005*\"wirtschaftlich\" + 0.005*\"verbessern\" + 0.005*\"finanzieren\" + 0.005*\"bank\"",28832,"MDBS Phase X - XII","abgeschlossen","Demokratie","430 - Andere multisektorale Maßnahmen","43010 - Multisektorale Hilfe","Afrika Subsahara"
5,0.78549999,"0.009*\"bevölkerung\" + 0.008*\"verbesserung\" + 0.006*\"leisten\" + 0.006*\"nachhaltig\" + 0.006*\"ländlich\" + 0.005*\"national\" + 0.005*\"energie\" + 0.005*\"unterstützen\" + 0.005*\"land\" + 0.005*\"öffentlich\"",28836,"Unterstützung des nat. Programms zur nachhalt. Kleinbewässerungslandwirtschaft-Sofortmaßn.Ernährungssicherung Ernte 2014","abgeschlossen","Ernährung und Landwirtschaft","430 - Andere multisektorale Maßnahmen","43040 - Ländliche Entwicklung","Afrika Subsahara"
9,0.6284999847,"0.005*\"finanzierung\" + 0.005*\"zugang\" + 0.004*\"privat\" + 0.004*\"entwicklung\" + 0.004*\"unternehmen\" + 0.004*\"ausbildung\" + 0.004*\"investition\" + 0.004*\"mef\" + 0.004*\"leisten\" + 0.004*\"land\"",28839,"Förderung der beruflichen Bildung","aktiv","Sonstige","110 - Bildung","11330 - Berufliche Bildung","Afrika Subsahara"
6,0.9918000102,"0.007*\"bevölkerung\" + 0.006*\"verbesserung\" + 0.005*\"distrikt\" + 0.005*\"lokal\" + 0.005*\"nachhaltig\" + 0.005*\"leisten\" + 0.004*\"umsetzung\" + 0.004*\"finanzieren\" + 0.004*\"unterstützen\" + 0.004*\"stärken\"",51707,"Bekämpfung von Mangelernährung und Stärkung der Resilienz in Madagaskar (WFP)","aktiv","Ernährung und Landwirtschaft","120 - Gesundheitswesen","12240 - Grundlegende Ernährung","Afrika Subsahara"
4,0.935100019,"0.015*\"nachhaltig\" + 0.010*\"bevölkerung\" + 0.006*\"ressource\" + 0.006*\"natürlich\" + 0.006*\"investition\" + 0.006*\"leisten\" + 0.006*\"finanzierung\" + 0.006*\"schutz\" + 0.006*\"national\" + 0.005*\"lokal\"",28842,"Regionales Programm für Energieeffizienz im Übertragungsbereich I","aktiv","Energie","""230 - Energieerzeugung, -verteilung und -effizienz""","""23630 - Stromübertragung, -verteilung u. Speicher""","Europa/Kaukasus"
1,0.5846999884,"0.012*\"stadt\" + 0.010*\"bevölkerung\" + 0.008*\"verbesserung\" + 0.008*\"finanzieren\" + 0.007*\"abwasserentsorgung\" + 0.006*\"krankenhaus\" + 0.006*\"kläranlage\" + 0.006*\"wasser\" + 0.005*\"national\" + 0.005*\"investition\"",28847,"Schutz und nachhaltige Nutzung von Feuchtgebieten in der unteren Mekong-Region","aktiv","Umwelt und Klima","410 - Umweltschutz allgemein","41030 - Biodiversität","Asien/Ozeanien"
7,0.6737999916,"0.010*\"kkmu\" + 0.008*\"unterstützen\" + 0.007*\"unternehmen\" + 0.007*\"leisten\" + 0.006*\"nachhaltig\" + 0.005*\"finanzierung\" + 0.005*\"wirtschaftlich\" + 0.005*\"verbessern\" + 0.005*\"finanzieren\" + 0.005*\"bank\"",28855,"EE-Refinanzierung für ukrainische Unternehmer über den Bankensektor","aktiv","Wirtschaft und Finanzsektor","240 - Finanzwesen","24030 - Finanzintermediäre des formellen Sektors","Europa/Kaukasus"
