Dominant_Topic,Percentage_Contribution,Topic_Keywords,Project_ID,Project_Title,Project_Status,Focus_Area,Sector,Subector,Region,Topic_Category,Topic_Label
2,0.781,"0.008*""verbesserung"" + 0.007*""nachhaltig"" + 0.006*""national"" + 0.006*""ländlich"" + 0.006*""investition"" + 0.006*""bevölkerung"" + 0.006*""leisten"" + 0.006*""unterstützen"" + 0.005*""entwicklung"" + 0.005*""wirtschaftlich""",28822,Wasserressourcen-Management-Programm III,aktiv,Wasser und Abfall,140 - Wasser und Abwasser-/Abfallentsorgung,"14020 - Wasser-, Sanitärver. und Abwassermanagement",Nordafrika/Naher Osten,Rural Development & National Empowerment,Topic 2: Rural Development & National Empowerment
5,0.6625,"0.008*""fond"" + 0.007*""unterstützen"" + 0.006*""land"" + 0.006*""finanzieren"" + 0.006*""verbessern"" + 0.006*""nachhaltig"" + 0.005*""region"" + 0.005*""fonds"" + 0.005*""sanad"" + 0.005*""lokal""",28830,Förderung beruflicher Bildung II (VPT),aktiv,Wirtschaft und Finanzsektor,110 - Bildung,11330 - Berufliche Bildung,Afrika Subsahara,Regional Financing & Local Support,Topic 5: Regional Financing & Local Support
10,0.555,"0.013*""energie"" + 0.009*""erneuerbar"" + 0.007*""stadt"" + 0.007*""bevölkerung"" + 0.006*""finanzieren"" + 0.006*""leisten"" + 0.006*""finanzierung"" + 0.005*""krankenhaus"" + 0.005*""investition"" + 0.005*""bau""",28831,Sektorprogramm zur Förderung von Energieeffizienz und Erneuerbaren Energien Phase III,abgeschlossen,Energie,"230 - Energieerzeugung, -verteilung und -effizienz",23220 - Wasserkraftwerke,Europa/Kaukasus,"Urban Infrastructure for Renewable Energy, Energy Efficiency, & Public Health","Topic 10: Urban Infrastructure for Renewable Energy, Energy Efficiency, & Public Health"
6,0.9814,"0.008*""bevölkerung"" + 0.007*""kind"" + 0.006*""lokal"" + 0.005*""infrastruktur"" + 0.005*""komponente"" + 0.004*""umsetzung"" + 0.004*""sozial"" + 0.004*""gemeinde"" + 0.004*""unterstützung"" + 0.004*""unterstützen""",28832,MDBS Phase X - XII,abgeschlossen,Demokratie,430 - Andere multisektorale Maßnahmen,43010 - Multisektorale Hilfe,Afrika Subsahara,"Children / Youth, Public Infrastructure, & Local Community","Topic 6: Children / Youth, Public Infrastructure, & Local Community"
2,0.993,"0.008*""verbesserung"" + 0.007*""nachhaltig"" + 0.006*""national"" + 0.006*""ländlich"" + 0.006*""investition"" + 0.006*""bevölkerung"" + 0.006*""leisten"" + 0.006*""unterstützen"" + 0.005*""entwicklung"" + 0.005*""wirtschaftlich""",28836,Unterstützung des nat. Programms zur nachhalt. Kleinbewässerungslandwirtschaft-Sofortmaßn.Ernährungssicherung Ernte 2014,abgeschlossen,Ernährung und Landwirtschaft,430 - Andere multisektorale Maßnahmen,43040 - Ländliche Entwicklung,Afrika Subsahara,Rural Development & National Empowerment,Topic 2: Rural Development & National Empowerment
3,0.9912,"0.008*""zugang"" + 0.008*""verbesserung"" + 0.008*""flüchtling"" + 0.007*""gemeinde"" + 0.006*""bevölkerung"" + 0.006*""sozial"" + 0.005*""palästinensisch"" + 0.005*""bildung"" + 0.005*""kind"" + 0.005*""leisten""",28839,Förderung der beruflichen Bildung,aktiv,Sonstige,110 - Bildung,11330 - Berufliche Bildung,Afrika Subsahara,"Refugees, Social/Community Support & Education","Topic 3: Refugees, Social/Community Support & Education"
11,0.6493,"0.010*""nachhaltig"" + 0.008*""bevölkerung"" + 0.007*""verbesserung"" + 0.006*""lokal"" + 0.006*""national"" + 0.005*""schutz"" + 0.005*""ressource"" + 0.005*""unterstützen"" + 0.005*""natürlich"" + 0.005*""leisten""",51707,Bekämpfung von Mangelernährung und Stärkung der Resilienz in Madagaskar (WFP),aktiv,Ernährung und Landwirtschaft,120 - Gesundheitswesen,12240 - Grundlegende Ernährung,Afrika Subsahara,Natural Resource & Biodiversity Protection,Topic 11: Natural Resource & Biodiversity Protection
10,0.9872,"0.013*""energie"" + 0.009*""erneuerbar"" + 0.007*""stadt"" + 0.007*""bevölkerung"" + 0.006*""finanzieren"" + 0.006*""leisten"" + 0.006*""finanzierung"" + 0.005*""krankenhaus"" + 0.005*""investition"" + 0.005*""bau""",28842,Regionales Programm für Energieeffizienz im Übertragungsbereich I,aktiv,Energie,"230 - Energieerzeugung, -verteilung und -effizienz","23630 - Stromübertragung, -verteilung u. Speicher",Europa/Kaukasus,"Urban Infrastructure for Renewable Energy, Energy Efficiency, & Public Health","Topic 10: Urban Infrastructure for Renewable Energy, Energy Efficiency, & Public Health"
11,0.9938,"0.010*""nachhaltig"" + 0.008*""bevölkerung"" + 0.007*""verbesserung"" + 0.006*""lokal"" + 0.006*""national"" + 0.005*""schutz"" + 0.005*""ressource"" + 0.005*""unterstützen"" + 0.005*""natürlich"" + 0.005*""leisten""",28847,Schutz und nachhaltige Nutzung von Feuchtgebieten in der unteren Mekong-Region,aktiv,Umwelt und Klima,410 - Umweltschutz allgemein,41030 - Biodiversität,Asien/Ozeanien,Natural Resource & Biodiversity Protection,Topic 11: Natural Resource & Biodiversity Protection
10,0.5109,"0.013*""energie"" + 0.009*""erneuerbar"" + 0.007*""stadt"" + 0.007*""bevölkerung"" + 0.006*""finanzieren"" + 0.006*""leisten"" + 0.006*""finanzierung"" + 0.005*""krankenhaus"" + 0.005*""investition"" + 0.005*""bau""",28855,EE-Refinanzierung für ukrainische Unternehmer über den Bankensektor,aktiv,Wirtschaft und Finanzsektor,240 - Finanzwesen,24030 - Finanzintermediäre des formellen Sektors,Europa/Kaukasus,"Urban Infrastructure for Renewable Energy, Energy Efficiency, & Public Health","Topic 10: Urban Infrastructure for Renewable Energy, Energy Efficiency, & Public Health"
11,0.9875,"0.010*""nachhaltig"" + 0.008*""bevölkerung"" + 0.007*""verbesserung"" + 0.006*""lokal"" + 0.006*""national"" + 0.005*""schutz"" + 0.005*""ressource"" + 0.005*""unterstützen"" + 0.005*""natürlich"" + 0.005*""leisten""",28871,Programm für nachhaltige Forstwirtschaft I,aktiv,Umwelt und Klima,"310 - Landwirtschaft, Forstwirtschaft und Fischereiwesen",31220 - Forstentwicklung,Lateinamerika,Natural Resource & Biodiversity Protection,Topic 11: Natural Resource & Biodiversity Protection
4,0.6253,"0.007*""finanzierung"" + 0.006*""bevölkerung"" + 0.006*""unterstützen"" + 0.005*""land"" + 0.005*""unternehmen"" + 0.005*""finanzieren"" + 0.005*""wirtschaftlich"" + 0.005*""leisten"" + 0.004*""covid"" + 0.004*""nachhaltig""",29029,Treuhandbeteiligung Aavishkaar Social Entrepreneurship Fonds,aktiv,Wirtschaft und Finanzsektor,430 - Andere multisektorale Maßnahmen,43040 - Ländliche Entwicklung,Asien/Ozeanien,Economic/ Financial Support & COVID,Topic 4: Economic/ Financial Support & COVID
5,0.984,"0.008*""fond"" + 0.007*""unterstützen"" + 0.006*""land"" + 0.006*""finanzieren"" + 0.006*""verbessern"" + 0.006*""nachhaltig"" + 0.005*""region"" + 0.005*""fonds"" + 0.005*""sanad"" + 0.005*""lokal""",29033,Regionaler Fonds zur Bildungsfinanzierung,aktiv,Wirtschaft und Finanzsektor,240 - Finanzwesen,24030 - Finanzintermediäre des formellen Sektors,Afrika Subsahara,Regional Financing & Local Support,Topic 5: Regional Financing & Local Support
11,0.873,"0.010*""nachhaltig"" + 0.008*""bevölkerung"" + 0.007*""verbesserung"" + 0.006*""lokal"" + 0.006*""national"" + 0.005*""schutz"" + 0.005*""ressource"" + 0.005*""unterstützen"" + 0.005*""natürlich"" + 0.005*""leisten""",29067,Energiesektorprogramm V (Verbesserung des Übertragungsnetzes),abgeschlossen,Energie,"230 - Energieerzeugung, -verteilung und -effizienz","23630 - Stromübertragung, -verteilung u. Speicher",Europa/Kaukasus,Natural Resource & Biodiversity Protection,Topic 11: Natural Resource & Biodiversity Protection
4,0.5484,"0.007*""finanzierung"" + 0.006*""bevölkerung"" + 0.006*""unterstützen"" + 0.005*""land"" + 0.005*""unternehmen"" + 0.005*""finanzieren"" + 0.005*""wirtschaftlich"" + 0.005*""leisten"" + 0.004*""covid"" + 0.004*""nachhaltig""",29131,Förderung erneuerbarer Energien in Südosteuropa - Entwicklung des Biomassemarktes in Serbien,aktiv,Energie,"230 - Energieerzeugung, -verteilung und -effizienz",23270 - Biogas-/Biomasse (Strom u. Wärme),Europa/Kaukasus,Economic/ Financial Support & COVID,Topic 4: Economic/ Financial Support & COVID
1,0.4109,"0.013*""kkmu"" + 0.007*""zugang"" + 0.007*""investition"" + 0.006*""unternehmen"" + 0.006*""nachhaltig"" + 0.006*""finanzierung"" + 0.005*""privat"" + 0.005*""bevölkerung"" + 0.005*""gesundheit"" + 0.005*""verbessern""",29156,Abwasserentsorgung Nablus Ost,aktiv,Wasser und Abfall,140 - Wasser und Abwasser-/Abfallentsorgung,14022 - Sanitärversorgung und Abwassermanagement -g,Nordafrika/Naher Osten,"SME Investment, Financial Services, & Health","Topic 1: SME Investment, Financial Services, & Health"
7,0.9802,"0.009*""ländlich"" + 0.008*""bevölkerung"" + 0.007*""unterstützen"" + 0.007*""verbesserung"" + 0.006*""nachhaltig"" + 0.005*""sozial"" + 0.005*""zugang"" + 0.004*""leisten"" + 0.004*""landwirtschaftlich"" + 0.004*""deutsch""",29160,Programm ländliche Infrastruktur - Phase III (RIP III),abgeschlossen,Transport und Kommunikation,210 - Transport und Lagerhaltung,21020 - Straßenverkehrswesen,Asien/Ozeanien,"Rural Development, Agricultural Support, & Climate Change","Topic 7: Rural Development, Agricultural Support, & Climate Change"
9,0.6903,"0.013*""flüchtling"" + 0.011*""bevölkerung"" + 0.008*""nachhaltig"" + 0.007*""syrisch"" + 0.007*""verbessern"" + 0.006*""verbesserung"" + 0.005*""unterstützen"" + 0.005*""infrastruktur"" + 0.004*""lokal"" + 0.004*""finanzieren""",29187,Biodiversität und Anpassung an den Klimawandel,aktiv,Umwelt und Klima,410 - Umweltschutz allgemein,41030 - Biodiversität,Asien/Ozeanien,Infrastructural and Humanitarian Support & Syrian Refugees,Topic 9: Infrastructural and Humanitarian Support & Syrian Refugees
8,0.9931,"0.008*""leisten"" + 0.007*""finanzierung"" + 0.006*""entwicklung"" + 0.005*""deutsch"" + 0.004*""mef"" + 0.004*""nachhaltig"" + 0.004*""unternehmen"" + 0.004*""verbessern"" + 0.004*""wirtschaftlich"" + 0.004*""unterstützen""",29221,Familienplanung und HIV-Prävention IV,aktiv,Gesundheit,130 - Bevölkerungspolitik/-programme u. repd. Gesundheit,13030 - Familienplanung,Afrika Subsahara,Sustainable Finance & Microfinance for Private Sector,Topic 8: Sustainable Finance & Microfinance for Private Sector
9,0.9919,"0.013*""flüchtling"" + 0.011*""bevölkerung"" + 0.008*""nachhaltig"" + 0.007*""syrisch"" + 0.007*""verbessern"" + 0.006*""verbesserung"" + 0.005*""unterstützen"" + 0.005*""infrastruktur"" + 0.004*""lokal"" + 0.004*""finanzieren""",29240,Regenwasserableitung Bamako,abgeschlossen,Wasser und Abfall,140 - Wasser und Abwasser-/Abfallentsorgung,14022 - Sanitärversorgung und Abwassermanagement -g,Afrika Subsahara,Infrastructural and Humanitarian Support & Syrian Refugees,Topic 9: Infrastructural and Humanitarian Support & Syrian Refugees
7,0.504,"0.009*""ländlich"" + 0.008*""bevölkerung"" + 0.007*""unterstützen"" + 0.007*""verbesserung"" + 0.006*""nachhaltig"" + 0.005*""sozial"" + 0.005*""zugang"" + 0.004*""leisten"" + 0.004*""landwirtschaftlich"" + 0.004*""deutsch""",29242,NACHHALTIGES NATURRESSOURCEN-MANAGEMENT III,aktiv,Ernährung und Landwirtschaft,430 - Andere multisektorale Maßnahmen,43040 - Ländliche Entwicklung,Lateinamerika,"Rural Development, Agricultural Support, & Climate Change","Topic 7: Rural Development, Agricultural Support, & Climate Change"
11,0.9838,"0.010*""nachhaltig"" + 0.008*""bevölkerung"" + 0.007*""verbesserung"" + 0.006*""lokal"" + 0.006*""national"" + 0.005*""schutz"" + 0.005*""ressource"" + 0.005*""unterstützen"" + 0.005*""natürlich"" + 0.005*""leisten""",29292,The Caucasus Nature Fund III (CNF),aktiv,Umwelt und Klima,410 - Umweltschutz allgemein,41030 - Biodiversität,Europa/Kaukasus,Natural Resource & Biodiversity Protection,Topic 11: Natural Resource & Biodiversity Protection
11,0.5173,"0.010*""nachhaltig"" + 0.008*""bevölkerung"" + 0.007*""verbesserung"" + 0.006*""lokal"" + 0.006*""national"" + 0.005*""schutz"" + 0.005*""ressource"" + 0.005*""unterstützen"" + 0.005*""natürlich"" + 0.005*""leisten""",29293,Förderung von Ökokorridoren im Südkaukasus,abgeschlossen,Umwelt und Klima,410 - Umweltschutz allgemein,41030 - Biodiversität,Europa/Kaukasus,Natural Resource & Biodiversity Protection,Topic 11: Natural Resource & Biodiversity Protection
10,0.8375,"0.013*""energie"" + 0.009*""erneuerbar"" + 0.007*""stadt"" + 0.007*""bevölkerung"" + 0.006*""finanzieren"" + 0.006*""leisten"" + 0.006*""finanzierung"" + 0.005*""krankenhaus"" + 0.005*""investition"" + 0.005*""bau""",29318,Brückenrehabilitierung Phase IV,aktiv,Transport und Kommunikation,210 - Transport und Lagerhaltung,21020 - Straßenverkehrswesen,Afrika Subsahara,"Urban Infrastructure for Renewable Energy, Energy Efficiency, & Public Health","Topic 10: Urban Infrastructure for Renewable Energy, Energy Efficiency, & Public Health"
7,0.9846,"0.009*""ländlich"" + 0.008*""bevölkerung"" + 0.007*""unterstützen"" + 0.007*""verbesserung"" + 0.006*""nachhaltig"" + 0.005*""sozial"" + 0.005*""zugang"" + 0.004*""leisten"" + 0.004*""landwirtschaftlich"" + 0.004*""deutsch""",29323,Regionalfonds zur Stärkung der Dürreresilienz am Horn von Afrika,aktiv,Ernährung und Landwirtschaft,150 - Staat und Zivilgesellschaft,"15220 - Zivile Friedensentwicklung, Krisenpräv. u. Kon",Afrika Subsahara,"Rural Development, Agricultural Support, & Climate Change","Topic 7: Rural Development, Agricultural Support, & Climate Change"
8,0.9908,"0.008*""leisten"" + 0.007*""finanzierung"" + 0.006*""entwicklung"" + 0.005*""deutsch"" + 0.004*""mef"" + 0.004*""nachhaltig"" + 0.004*""unternehmen"" + 0.004*""verbessern"" + 0.004*""wirtschaftlich"" + 0.004*""unterstützen""",29377,"Schwerpunktprogramm Gesundheit, Komponente ""Mutter-Kind-Versorgung"" Phase VI -Investition-",aktiv,Gesundheit,130 - Bevölkerungspolitik/-programme u. repd. Gesundheit,13020 - Förderung reproduktiver Gesundheit,Asien/Ozeanien,Sustainable Finance & Microfinance for Private Sector,Topic 8: Sustainable Finance & Microfinance for Private Sector
4,0.6391,"0.007*""finanzierung"" + 0.006*""bevölkerung"" + 0.006*""unterstützen"" + 0.005*""land"" + 0.005*""unternehmen"" + 0.005*""finanzieren"" + 0.005*""wirtschaftlich"" + 0.005*""leisten"" + 0.004*""covid"" + 0.004*""nachhaltig""",29398,Gesundheitsinfrastruktur Azad jammu Kashmir (AJK),aktiv,Gesundheit,120 - Gesundheitswesen,12230 - Infrastruktur im Bereich Basisgesundheit,Asien/Ozeanien,Economic/ Financial Support & COVID,Topic 4: Economic/ Financial Support & COVID
6,0.9903,"0.008*""bevölkerung"" + 0.007*""kind"" + 0.006*""lokal"" + 0.005*""infrastruktur"" + 0.005*""komponente"" + 0.004*""umsetzung"" + 0.004*""sozial"" + 0.004*""gemeinde"" + 0.004*""unterstützung"" + 0.004*""unterstützen""",29399,Sektorvorhaben Gesundheitswesen III (Swap),abgeschlossen,Gesundheit,120 - Gesundheitswesen,12110 - Gesundheitspolitik und Verwaltung des Gesundheitsw,Asien/Ozeanien,"Children / Youth, Public Infrastructure, & Local Community","Topic 6: Children / Youth, Public Infrastructure, & Local Community"
6,0.9903,"0.008*""bevölkerung"" + 0.007*""kind"" + 0.006*""lokal"" + 0.005*""infrastruktur"" + 0.005*""komponente"" + 0.004*""umsetzung"" + 0.004*""sozial"" + 0.004*""gemeinde"" + 0.004*""unterstützung"" + 0.004*""unterstützen""",29427,Urbane Klimaanpassung in Zentralamerika,aktiv,Umwelt und Klima,410 - Umweltschutz allgemein,41040 - Gebietsschutz,Lateinamerika,"Children / Youth, Public Infrastructure, & Local Community","Topic 6: Children / Youth, Public Infrastructure, & Local Community"
8,0.8413,"0.008*""leisten"" + 0.007*""finanzierung"" + 0.006*""entwicklung"" + 0.005*""deutsch"" + 0.004*""mef"" + 0.004*""nachhaltig"" + 0.004*""unternehmen"" + 0.004*""verbessern"" + 0.004*""wirtschaftlich"" + 0.004*""unterstützen""",29430,Angepasstes Management von Ökosystemen zum Schutz vor Küstenerosion in einem sich ändernden Klima,aktiv,Umwelt und Klima,410 - Umweltschutz allgemein,41030 - Biodiversität,Lateinamerika,Sustainable Finance & Microfinance for Private Sector,Topic 8: Sustainable Finance & Microfinance for Private Sector
3,0.9906,"0.008*""zugang"" + 0.008*""verbesserung"" + 0.008*""flüchtling"" + 0.007*""gemeinde"" + 0.006*""bevölkerung"" + 0.006*""sozial"" + 0.005*""palästinensisch"" + 0.005*""bildung"" + 0.005*""kind"" + 0.005*""leisten""",29444,Programm Wirtschafts- und Beschäftigungsförderung - Technische und Berufliche Ausbildung(TVET),abgeschlossen,Wirtschaft und Finanzsektor,110 - Bildung,11330 - Berufliche Bildung,Afrika Subsahara,"Refugees, Social/Community Support & Education","Topic 3: Refugees, Social/Community Support & Education"
1,0.6507,"0.013*""kkmu"" + 0.007*""zugang"" + 0.007*""investition"" + 0.006*""unternehmen"" + 0.006*""nachhaltig"" + 0.006*""finanzierung"" + 0.005*""privat"" + 0.005*""bevölkerung"" + 0.005*""gesundheit"" + 0.005*""verbessern""",29474,KKMU-Kreditprogramm zur Beschäftigungsförderung,abgeschlossen,Wirtschaft und Finanzsektor,240 - Finanzwesen,24030 - Finanzintermediäre des formellen Sektors,Nordafrika/Naher Osten,"SME Investment, Financial Services, & Health","Topic 1: SME Investment, Financial Services, & Health"
11,0.9941,"0.010*""nachhaltig"" + 0.008*""bevölkerung"" + 0.007*""verbesserung"" + 0.006*""lokal"" + 0.006*""national"" + 0.005*""schutz"" + 0.005*""ressource"" + 0.005*""unterstützen"" + 0.005*""natürlich"" + 0.005*""leisten""",29542,Küstenschutz zur Anpassung an den Klimawandel in kleinen Inselstaaten der Karibik,abgeschlossen,Umwelt und Klima,410 - Umweltschutz allgemein,41030 - Biodiversität,Lateinamerika,Natural Resource & Biodiversity Protection,Topic 11: Natural Resource & Biodiversity Protection
11,0.7474,"0.010*""nachhaltig"" + 0.008*""bevölkerung"" + 0.007*""verbesserung"" + 0.006*""lokal"" + 0.006*""national"" + 0.005*""schutz"" + 0.005*""ressource"" + 0.005*""unterstützen"" + 0.005*""natürlich"" + 0.005*""leisten""",29549,Gemeindeentwicklung / BdE II,abgeschlossen,Demokratie,150 - Staat und Zivilgesellschaft,15110 - Politik und Verwaltung im öffentlichen Sekt,Lateinamerika,Natural Resource & Biodiversity Protection,Topic 11: Natural Resource & Biodiversity Protection
11,0.4998,"0.010*""nachhaltig"" + 0.008*""bevölkerung"" + 0.007*""verbesserung"" + 0.006*""lokal"" + 0.006*""national"" + 0.005*""schutz"" + 0.005*""ressource"" + 0.005*""unterstützen"" + 0.005*""natürlich"" + 0.005*""leisten""",29561,"Gesundheits-, Ernährungs- und Bevölkerungsprogramm II",abgeschlossen,Gesundheit,120 - Gesundheitswesen,12110 - Gesundheitspolitik und Verwaltung des Gesundheitsw,Asien/Ozeanien,Natural Resource & Biodiversity Protection,Topic 11: Natural Resource & Biodiversity Protection
3,0.5144,"0.008*""zugang"" + 0.008*""verbesserung"" + 0.008*""flüchtling"" + 0.007*""gemeinde"" + 0.006*""bevölkerung"" + 0.006*""sozial"" + 0.005*""palästinensisch"" + 0.005*""bildung"" + 0.005*""kind"" + 0.005*""leisten""",29573,Weiterentwicklung der Mikrofinanzinitiative für Sub-Sahara Afrika (MIFSSA II),aktiv,Wirtschaft und Finanzsektor,240 - Finanzwesen,24030 - Finanzintermediäre des formellen Sektors,Afrika Subsahara,"Refugees, Social/Community Support & Education","Topic 3: Refugees, Social/Community Support & Education"
2,0.547,"0.008*""verbesserung"" + 0.007*""nachhaltig"" + 0.006*""national"" + 0.006*""ländlich"" + 0.006*""investition"" + 0.006*""bevölkerung"" + 0.006*""leisten"" + 0.006*""unterstützen"" + 0.005*""entwicklung"" + 0.005*""wirtschaftlich""",29589,"Anpassung an den Klimawandel in Adscharien -Küstenschutz- Regenwasserbewirtschaftungssystem Batumi, Phase 2",aktiv,Umwelt und Klima,410 - Umweltschutz allgemein,41050 - (alt) Hochwasserschutz,Europa/Kaukasus,Rural Development & National Empowerment,Topic 2: Rural Development & National Empowerment
9,0.7575,"0.013*""flüchtling"" + 0.011*""bevölkerung"" + 0.008*""nachhaltig"" + 0.007*""syrisch"" + 0.007*""verbessern"" + 0.006*""verbesserung"" + 0.005*""unterstützen"" + 0.005*""infrastruktur"" + 0.004*""lokal"" + 0.004*""finanzieren""",29594,Klimaanp. d. nachhalt. Waldbau in wichtigen Einzugsgeb. in T. zur Sicherung der WV u. Schutz d.lok. Bev. vor Katastropen,abgeschlossen,Umwelt und Klima,"310 - Landwirtschaft, Forstwirtschaft und Fischereiwesen",31220 - Forstentwicklung,Asien/Ozeanien,Infrastructural and Humanitarian Support & Syrian Refugees,Topic 9: Infrastructural and Humanitarian Support & Syrian Refugees
10,0.8505,"0.013*""energie"" + 0.009*""erneuerbar"" + 0.007*""stadt"" + 0.007*""bevölkerung"" + 0.006*""finanzieren"" + 0.006*""leisten"" + 0.006*""finanzierung"" + 0.005*""krankenhaus"" + 0.005*""investition"" + 0.005*""bau""",29598,Förderung der sozialen Infrastruktur (USIF IV),abgeschlossen,Demokratie,150 - Staat und Zivilgesellschaft,15150 - Demokratische Teilhabe und Zivilgesellschaf,Europa/Kaukasus,"Urban Infrastructure for Renewable Energy, Energy Efficiency, & Public Health","Topic 10: Urban Infrastructure for Renewable Energy, Energy Efficiency, & Public Health"
2,0.9586,"0.008*""verbesserung"" + 0.007*""nachhaltig"" + 0.006*""national"" + 0.006*""ländlich"" + 0.006*""investition"" + 0.006*""bevölkerung"" + 0.006*""leisten"" + 0.006*""unterstützen"" + 0.005*""entwicklung"" + 0.005*""wirtschaftlich""",29599,Krisensofortprogramm Wassersektor,abgeschlossen,Wasser und Abfall,140 - Wasser und Abwasser-/Abfallentsorgung,"14030 - Trinkwasser, Sanitär u Abwasser-Grundl Vers",Nordafrika/Naher Osten,Rural Development & National Empowerment,Topic 2: Rural Development & National Empowerment
11,0.9866,"0.010*""nachhaltig"" + 0.008*""bevölkerung"" + 0.007*""verbesserung"" + 0.006*""lokal"" + 0.006*""national"" + 0.005*""schutz"" + 0.005*""ressource"" + 0.005*""unterstützen"" + 0.005*""natürlich"" + 0.005*""leisten""",29600,IWRM Küstenschutzprogramm Tunesien I,aktiv,Umwelt und Klima,410 - Umweltschutz allgemein,41050 - (alt) Hochwasserschutz,Nordafrika/Naher Osten,Natural Resource & Biodiversity Protection,Topic 11: Natural Resource & Biodiversity Protection
4,0.986,"0.007*""finanzierung"" + 0.006*""bevölkerung"" + 0.006*""unterstützen"" + 0.005*""land"" + 0.005*""unternehmen"" + 0.005*""finanzieren"" + 0.005*""wirtschaftlich"" + 0.005*""leisten"" + 0.004*""covid"" + 0.004*""nachhaltig""",29609,Modernisierung von medizinischen Multiprofilzentren der Gebietsebene II,aktiv,Gesundheit,120 - Gesundheitswesen,12191 - Medizinische Dienste,Asien/Ozeanien,Economic/ Financial Support & COVID,Topic 4: Economic/ Financial Support & COVID
10,0.563,"0.013*""energie"" + 0.009*""erneuerbar"" + 0.007*""stadt"" + 0.007*""bevölkerung"" + 0.006*""finanzieren"" + 0.006*""leisten"" + 0.006*""finanzierung"" + 0.005*""krankenhaus"" + 0.005*""investition"" + 0.005*""bau""",29625,1000 Inseln - Programm Erneuerbare Energien für Elektrifizierung (REEP),aktiv,Energie,"230 - Energieerzeugung, -verteilung und -effizienz",23220 - Wasserkraftwerke,Asien/Ozeanien,"Urban Infrastructure for Renewable Energy, Energy Efficiency, & Public Health","Topic 10: Urban Infrastructure for Renewable Energy, Energy Efficiency, & Public Health"
2,0.9906,"0.008*""verbesserung"" + 0.007*""nachhaltig"" + 0.006*""national"" + 0.006*""ländlich"" + 0.006*""investition"" + 0.006*""bevölkerung"" + 0.006*""leisten"" + 0.006*""unterstützen"" + 0.005*""entwicklung"" + 0.005*""wirtschaftlich""",29655,Einlagensicherungssystem,aktiv,Wirtschaft und Finanzsektor,240 - Finanzwesen,24010 - Finanzsektorpolitik und -verwaltung,Afrika Subsahara,Rural Development & National Empowerment,Topic 2: Rural Development & National Empowerment
2,0.9103,"0.008*""verbesserung"" + 0.007*""nachhaltig"" + 0.006*""national"" + 0.006*""ländlich"" + 0.006*""investition"" + 0.006*""bevölkerung"" + 0.006*""leisten"" + 0.006*""unterstützen"" + 0.005*""entwicklung"" + 0.005*""wirtschaftlich""",29661,Mikrofinanzfonds DWM Inclusive Finance Equity Fund,aktiv,Wirtschaft und Finanzsektor,240 - Finanzwesen,24030 - Finanzintermediäre des formellen Sektors,Global,Rural Development & National Empowerment,Topic 2: Rural Development & National Empowerment
2,0.6523,"0.008*""verbesserung"" + 0.007*""nachhaltig"" + 0.006*""national"" + 0.006*""ländlich"" + 0.006*""investition"" + 0.006*""bevölkerung"" + 0.006*""leisten"" + 0.006*""unterstützen"" + 0.005*""entwicklung"" + 0.005*""wirtschaftlich""",29665,Basisernährung Mutter- und Kindgesundheit,abgeschlossen,Gesundheit,120 - Gesundheitswesen,12240 - Grundlegende Ernährung,Nordafrika/Naher Osten,Rural Development & National Empowerment,Topic 2: Rural Development & National Empowerment
9,0.9868,"0.013*""flüchtling"" + 0.011*""bevölkerung"" + 0.008*""nachhaltig"" + 0.007*""syrisch"" + 0.007*""verbessern"" + 0.006*""verbesserung"" + 0.005*""unterstützen"" + 0.005*""infrastruktur"" + 0.004*""lokal"" + 0.004*""finanzieren""",29691,Transnationale Naturschutzgebiete Great Limpopo Park IV,aktiv,Umwelt und Klima,410 - Umweltschutz allgemein,41030 - Biodiversität,Afrika Subsahara,Infrastructural and Humanitarian Support & Syrian Refugees,Topic 9: Infrastructural and Humanitarian Support & Syrian Refugees
11,0.9941,"0.010*""nachhaltig"" + 0.008*""bevölkerung"" + 0.007*""verbesserung"" + 0.006*""lokal"" + 0.006*""national"" + 0.005*""schutz"" + 0.005*""ressource"" + 0.005*""unterstützen"" + 0.005*""natürlich"" + 0.005*""leisten""",29693,Wildhüterausbildung in der SADC-Region,aktiv,Umwelt und Klima,410 - Umweltschutz allgemein,41030 - Biodiversität,Afrika Subsahara,Natural Resource & Biodiversity Protection,Topic 11: Natural Resource & Biodiversity Protection
1,0.6507,"0.013*""kkmu"" + 0.007*""zugang"" + 0.007*""investition"" + 0.006*""unternehmen"" + 0.006*""nachhaltig"" + 0.006*""finanzierung"" + 0.005*""privat"" + 0.005*""bevölkerung"" + 0.005*""gesundheit"" + 0.005*""verbessern""",29734,Förderung klimafreundlicher Biogastechnologien,aktiv,Energie,"230 - Energieerzeugung, -verteilung und -effizienz",23270 - Biogas-/Biomasse (Strom u. Wärme),Lateinamerika,"SME Investment, Financial Services, & Health","Topic 1: SME Investment, Financial Services, & Health"
